Category,Type,File,Line,Content,Handler,Variant
buttons,click,apps/client/src/components/ui/Button.tsx,290,"<button
        className={cn(buttonVariants({ variant, size, fullWidth, className }))}
        ref={ref}
        disabled={isDisabled}
        onClick={handleClick}
        {...props}
      >",handleClick,
buttons,click,apps/client/src/components/ui/Button.tsx,290,"<button
        className={cn(buttonVariants({ variant, size, fullWidth, className }))}
        ref={ref}
        disabled={isDisabled}
        onClick={handleClick}
        {...props}
      >",handleClick,
buttons,click,apps/client/src/components/ui/Input.tsx,200,"<button
                type=""button""
                onClick={handleClear}
                className=""p-1 text-neutral-400 hover:text-neutral-600 transition-colors""
              >",handleClear,
buttons,click,apps/client/src/components/ui/Input.tsx,211,"<button
                type=""button""
                onClick={togglePassword}
                className=""p-1 text-neutral-400 hover:text-neutral-600 transition-colors""
                disabled={disabled}
              >",togglePassword,
buttons,click,apps/client/src/components/ui/Input.tsx,200,"<button
                type=""button""
                onClick={handleClear}
                className=""p-1 text-neutral-400 hover:text-neutral-600 transition-colors""
              >",handleClear,
buttons,click,apps/client/src/components/ui/Input.tsx,211,"<button
                type=""button""
                onClick={togglePassword}
                className=""p-1 text-neutral-400 hover:text-neutral-600 transition-colors""
                disabled={disabled}
              >",togglePassword,
buttons,click,apps/client/src/components/ui/ErrorBoundary.tsx,46,"<Button
      variant=""ghost""
      size=""sm""
      onClick={onToggle}
      className=""flex items-center gap-2 text-text-secondary""
    >",onToggle,ghost
buttons,click,apps/client/src/components/ui/ErrorBoundary.tsx,276,"<Button
                    onClick={this.handleRetry}
                    variant=""primary""
                    className=""flex items-center gap-2""
                  >",this.handleRetry,primary
buttons,click,apps/client/src/components/ui/ErrorBoundary.tsx,287,"<Button
                    onClick={this.handleGoHome}
                    variant=""secondary""
                    className=""flex items-center gap-2""
                  >",this.handleGoHome,secondary
buttons,click,apps/client/src/components/ui/ErrorBoundary.tsx,298,"<Button
                    onClick={() =>",,
buttons,click,apps/client/src/components/ui/ErrorBoundary.tsx,46,"<Button
      variant=""ghost""
      size=""sm""
      onClick={onToggle}
      className=""flex items-center gap-2 text-text-secondary""
    >",onToggle,ghost
buttons,click,apps/client/src/components/ui/ErrorBoundary.tsx,276,"<Button
                    onClick={this.handleRetry}
                    variant=""primary""
                    className=""flex items-center gap-2""
                  >",this.handleRetry,primary
buttons,click,apps/client/src/components/ui/ErrorBoundary.tsx,287,"<Button
                    onClick={this.handleGoHome}
                    variant=""secondary""
                    className=""flex items-center gap-2""
                  >",this.handleGoHome,secondary
buttons,click,apps/client/src/components/ui/ErrorBoundary.tsx,298,"<Button
                    onClick={() =>",,
buttons,click,apps/client/src/components/ui/Modal.tsx,182,"<Button
                variant=""ghost""
                size=""sm""
                onClick={onClose}
                className=""ml-4 rounded-full""
                aria-label=""Close modal""
              >",onClose,ghost
buttons,click,apps/client/src/components/ui/Modal.tsx,146,"<div
      className={cn(overlayVariants({ variant: overlayVariant }), overlayClassName)}
      onClick={handleOverlayClick}
      role=""dialog""
      aria-modal=""true""
      aria-labelledby={title ? titleId : undefined}
      aria-describedby={description ? descId : undefined}
    >",handleOverlayClick,
buttons,click,apps/client/src/components/ui/Modal.tsx,182,"<Button
                variant=""ghost""
                size=""sm""
                onClick={onClose}
                className=""ml-4 rounded-full""
                aria-label=""Close modal""
              >",onClose,ghost
buttons,click,apps/client/src/components/ui/SimpleErrorBoundary.tsx,54,"<Button onClick={this.handleRetry} variant=""primary"" className=""flex items-center gap-2 mx-auto"">",this.handleRetry,primary
buttons,click,apps/client/src/components/ui/SimpleErrorBoundary.tsx,54,"<Button onClick={this.handleRetry} variant=""primary"" className=""flex items-center gap-2 mx-auto"">",this.handleRetry,primary
buttons,click,apps/client/src/components/auth/RegisterForm.tsx,389,"<Button
            type=""submit""
            variant=""primary""
            size=""lg""
            fullWidth
            loading={isLoading}
            rightIcon={!isLoading && <ArrowRight className=""h-4 w-4"" />",,primary
buttons,click,apps/client/src/components/auth/RegisterForm.tsx,404,"<Button
            type=""button""
            variant=""link""
            size=""sm""
            onClick={() =>",,link
buttons,click,apps/client/src/components/auth/RegisterForm.tsx,277,"<button
                  type=""button""
                  onClick={() =>",,
buttons,click,apps/client/src/components/auth/RegisterForm.tsx,331,"<button
                type=""button""
                onClick={() =>",,
buttons,click,apps/client/src/components/auth/RegisterForm.tsx,277,"<button
                  type=""button""
                  onClick={() =>",,
buttons,click,apps/client/src/components/auth/RegisterForm.tsx,331,"<button
                type=""button""
                onClick={() =>",,
buttons,click,apps/client/src/components/auth/RegisterForm.tsx,404,"<Button
            type=""button""
            variant=""link""
            size=""sm""
            onClick={() =>",,link
buttons,click,apps/client/src/components/auth/LoginForm.tsx,124,"<Button
            type=""button""
            variant=""secondary""
            size=""md""
            onClick={() =>",,secondary
buttons,click,apps/client/src/components/auth/LoginForm.tsx,133,"<Button
            type=""button""
            variant=""secondary""
            size=""md""
            onClick={() =>",,secondary
buttons,click,apps/client/src/components/auth/LoginForm.tsx,207,"<Button
              type=""button""
              variant=""link""
              size=""sm""
              onClick={() =>",,link
buttons,click,apps/client/src/components/auth/LoginForm.tsx,227,"<Button
            type=""submit""
            variant=""primary""
            size=""lg""
            fullWidth
            loading={loading || isSubmitting}
            disabled={loading || isSubmitting}
            rightIcon={!(loading || isSubmitting) && <ArrowRight className=""h-4 w-4"" />",,primary
buttons,click,apps/client/src/components/auth/LoginForm.tsx,243,"<Button
            type=""button""
            variant=""link""
            size=""sm""
            onClick={() =>",,link
buttons,click,apps/client/src/components/auth/LoginForm.tsx,180,"<button
                type=""button""
                onClick={() =>",,
buttons,click,apps/client/src/components/auth/LoginForm.tsx,124,"<Button
            type=""button""
            variant=""secondary""
            size=""md""
            onClick={() =>",,secondary
buttons,click,apps/client/src/components/auth/LoginForm.tsx,133,"<Button
            type=""button""
            variant=""secondary""
            size=""md""
            onClick={() =>",,secondary
buttons,click,apps/client/src/components/auth/LoginForm.tsx,180,"<button
                type=""button""
                onClick={() =>",,
buttons,click,apps/client/src/components/auth/LoginForm.tsx,207,"<Button
              type=""button""
              variant=""link""
              size=""sm""
              onClick={() =>",,link
buttons,click,apps/client/src/components/auth/LoginForm.tsx,243,"<Button
            type=""button""
            variant=""link""
            size=""sm""
            onClick={() =>",,link
buttons,click,apps/client/src/components/dashboard/DashboardHome.tsx,216,"<Button variant=""ghost"" size=""sm"" rightIcon={<ArrowRight className=""h-4 w-4"" />",,ghost
buttons,click,apps/client/src/components/dashboard/DashboardHome.tsx,252,"<Button variant=""secondary"" fullWidth leftIcon={<Plus className=""h-4 w-4"" />",,secondary
buttons,click,apps/client/src/components/dashboard/DashboardHome.tsx,285,"<Button variant=""link"" size=""sm"" className=""w-full"">",,link
