File,Category,Lines,Migration Effort,Hardcoded Colors,Tailwind Classes,Design System Vars,Inline Styles,CSS Modules,Issues,Recommendations
index.tsx,other,8,low,0,0,0,0,0,"","Minor adjustments needed; Start using design system variables"
App.tsx,other,129,low,0,6,0,0,0,"Found 6 Tailwind classes","Minor adjustments needed; Migrate Tailwind classes to design system utilities; Start using design system variables"
lazyLoad.tsx,other,23,low,0,0,0,0,0,"","Minor adjustments needed; Start using design system variables"
test-utils.tsx,other,302,low,0,0,0,0,0,"","Minor adjustments needed; Start using design system variables"
WebSocketProvider.tsx,other,268,low,0,0,0,0,0,"","Minor adjustments needed; Start using design system variables"
SocketProvider.tsx,other,119,low,0,0,0,0,0,"","Minor adjustments needed; Start using design system variables"
I18nProvider.tsx,other,60,low,0,0,0,0,0,"","Minor adjustments needed; Start using design system variables"
GameProvider.tsx,other,407,low,0,0,0,0,0,"","Minor adjustments needed; Start using design system variables"
AuthProvider.tsx,other,287,low,0,0,0,0,0,"","Minor adjustments needed; Start using design system variables"
Settings.tsx,other,30,low,0,6,0,0,0,"Found 6 Tailwind classes","Minor adjustments needed; Migrate Tailwind classes to design system utilities; Start using design system variables"
RegisterPage.tsx,other,366,high,0,79,0,0,0,"Found 31 Tailwind classes","Complete refactor recommended; Migrate Tailwind classes to design system utilities; Start using design system variables"
LoginPage.tsx,other,252,high,0,60,0,0,0,"Found 29 Tailwind classes","Complete refactor recommended; Migrate Tailwind classes to design system utilities; Start using design system variables"
LandingPage.tsx,other,343,high,0,235,0,0,0,"Found 74 Tailwind classes","Complete refactor recommended; Migrate Tailwind classes to design system utilities; Start using design system variables"
GameSession.tsx,other,311,high,0,99,0,0,0,"Found 36 Tailwind classes","Complete refactor recommended; Migrate Tailwind classes to design system utilities; Start using design system variables"
Dashboard.tsx,other,344,high,0,83,0,0,0,"Found 35 Tailwind classes","Complete refactor recommended; Migrate Tailwind classes to design system utilities; Start using design system variables"
CharacterEditor.tsx,other,88,low,0,19,0,0,0,"Found 14 Tailwind classes","Minor adjustments needed; Migrate Tailwind classes to design system utilities; Start using design system variables"
CampaignBrowser.tsx,other,411,high,0,148,0,0,0,"Found 49 Tailwind classes","Complete refactor recommended; Migrate Tailwind classes to design system utilities; Start using design system variables"
VTTDemo.tsx,other,78,medium,0,28,0,0,0,"Found 17 Tailwind classes","Moderate refactoring needed; Migrate Tailwind classes to design system utilities; Start using design system variables"
